"no","issn","issn2","title","title_main","comments","database","Scopus","WoS","CA","PubMed","Springer","GeoRef","MathSciNet","zbMATH"
1,"2166-4072","2164-9731","Ab Imperio /AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE","Ab Imperio /AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE",NA,"Scopus  , WoS(AHCI)","да","да","","","","","",""
2,"0132-8077","2221-5115","Acarina","Acarina",NA,"Scopus","да","","","","","","",""
3,"1063-7710","1562-6865","Acoustical Physics (рус. Акустический журнал)","Acoustical Physics","(рус. Акустический журнал)","CA(pt), Scopus, Springer, PubMed, WoS(SCIE)","да","да","да","да","да","","",""
4,NA,"2412-1908","Acta Biologica Sibirica","Acta Biologica Sibirica",NA,"Scopus","да","","","","","","",""
5,"2541-9420","2587-9596","Acta Biomedica Scientifica","Acta Biomedica Scientifica",NA,"Scopus","да","","","","","","",""
6,"2075-8251","","Acta Naturae","Acta Naturae",NA,"Scopus, WoS(SCIE)","да","да","","","","","",""
7,"2541-8513","","Advanced Materials & Technologies","Advanced Materials & Technologies",NA,"CA(pt)","","","да","","","","",""
8,"2079-0570","2079-0589","Advances in Gerontology (рус. Успехи геронтологии)","Advances in Gerontology","(рус. Успехи геронтологии)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
9,"0002-5232","1573-8302","Algebra and Logic (USA, рус. Алгебра и логика)","Algebra and Logic","(USA, рус. Алгебра и логика)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
10,"1061-1959","1558-092X","Anthropology and Archeology of Eurasia","Anthropology and Archeology of Eurasia",NA,"Scopus","да","","","","","","",""
11,"0003-6838","1608-3024","Applied Biochemistry and Microbiology (рус. осн. Прикладная биохимия и микробиология + присоед. Биотехнология)","Applied Biochemistry and Microbiology","(рус. осн. Прикладная биохимия и микробиология + присоед. Биотехнология)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
12,"0937-9347","1613-7507","Applied Magnetic Resonance","Applied Magnetic Resonance",NA,"CA(pt), Scopus","да","","да","","","","",""
13,"2313-870X","","Applied Methods of Statistical Analysis (Conference Proceedings)","Applied Methods of Statistical Analysis","(Conference Proceedings)","Scopus","да","","","","","","",""
14,"1563-0110","1531-832X","Archaeology, Ethnology and Anthropology of Eurasia (рус. Археология, этнография и антропология Евразии)","Archaeology, Ethnology and Anthropology of Eurasia","(рус. Археология, этнография и антропология Евразии)","GeoRef, Scopus, Springer, WoS(ESCI)","да","да","","","да","да","",""
15,NA,"2500-0055","Architecture and Engineering","Architecture and Engineering",NA,"Scopus","да","","","","","","",""
16,"0131-1379","","Arctoa","Arctoa",NA,"Scopus","да","","","","","","",""
17,"2079-0961","2079-0988","Arid Ecosystems (рус. Аридные экосистемы)","Arid Ecosystems","(рус. Аридные экосистемы)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
18,"0136-006X","","Arthropoda Selecta","Arthropoda Selecta",NA,"Scopus, WoS(SCIE)","да","да","","","","","",""
19,"1063-7737","1562-6873","Astronomy Letters (рус. Письма в Астрономический журнал)","Astronomy Letters","(рус. Письма в Астрономический журнал)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
20,"1063-7729","1562-6881","Astronomy Reports (рус. Астрономический журнал)","Astronomy Reports","(рус. Астрономический журнал)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
21,"1990-3413","1990-3421","Astrophysical Bulletin (USA, рус. Астрофизический бюллетень)","Astrophysical Bulletin","(USA, рус. Астрофизический бюллетень)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
22,"1024-8560","2070-0393","Atmospheric and Oceanic Optics (рус. Оптика атмосферы и океана)","Atmospheric and Oceanic Optics","(рус. Оптика атмосферы и океана)","CA(pt), Scopus, Springer, WoS(ESCI)","да","да","да","","да","","",""
23,"1063-4258","1573-8205","Atomic Energy (USA, рус. Атомная энергия)","Atomic Energy","(USA, рус. Атомная энергия)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
24,"0146-4116","1558-108X","Automatic Control and Computer Sciences (**рус. осн. Автоматика и вычислительная техника (Латвия) + присоед. Моделирование и анализ информационных систем; Проблемы информационной безопасности. Компьютерные системы)","Automatic Control and Computer Sciences","(**рус. осн. Автоматика и вычислительная техника (Латвия)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
