no,issn1,issn2,title,last_year
1,2077-9038,"",Academia. Архитектура и строительство,""
2,0132-8077,2221-5115,Acarina,""
3,2541-9420,2587-9596,Acta Biomedica Scientifica (East Siberian Biomedical Journal),""
4,2306-5737,2658-4069,Acta Linguistica Petropolitana. Труды института лингвистических исследований,""
5,2075-8243,"",Acta Naturae (русскоязычная версия),""
6,0131-1379,"",Arctoa,""
7,2218-9173,"",Ars Administrandi. Искусство управления,""
8,0136-006X,"",Arthropoda Selecta. Русский артроподологический журнал,""
9,2542-2154,2587-5779,Biological Communications,""
10,2226-4701,2410-3713,Botanica Pacifica: a Journal of Plant Science and Conservation,""
11,2687-0894,2687-0908,Construction and Geotechnics,""
12,1026-051X,2713-2196,Far Eastern Entomologist,""
13,2308-4057,2310-9599,Foods and Raw Materials,""
14,"",2078-502X,Geodynamics & Tectonophysics,""
15,2071-9388,2542-1565,"Geography, Environment, Sustainability",""
16,2587-9618,2588-0195,International Journal for Computational Civil and Structural Engineering,""
17,1812-9250,1814-0815,Invertebrate Zoology,""
18,"",2712-7435,Journal of Applied Economic Research,""
19,"",2411-2844,Journal of Biomedical Photonics & Engineering,""
20,2076-6297,2412-6039,Journal of Institutional Studies,""
21,2076-8214,2078-1938,Laboratorium: журнал социальных исследований,""
22,"",2712-8172,Magazine of Civil Engineering,""
23,1605-2730,1605-8119,Materials Physics and Mechanics,""
24,2452-2449,2452-1779,Modern Electronic Materials,""
25,2500-008X,"",Nature Conservation Research. Заповедная наука,""
26,1561-4085,1817-2458,Nonlinear Phenomena in Complex Systems,""
27,1054-6618,1555-6212,Pattern Recognition and Image Analysis (Advances in Mathematical Theory and Applications),""
28,0202-2532,2618-6969,Philologia Classica,""
29,1541-308X,1934-807X,Physics of Wave Phenomena,""
30,2311-911X,2313-6871,Quaestio Rossica,""
31,0132-8069,"",Russian Entomological Journal,""
32,"",1681-1208,Russian Journal of Earth Sciences,""
33,2405-4739,"",Russian Journal of Economics,""
34,1026-2296,"",Russian Journal of Herpetology,""
35,2687-0088,2686-8024,Russian Journal of Linguistics,""
36,2658-5324,2658-5316,Russian Journal of Nonlinear Dynamics,""
37,0136-0027,2307-7336,Ruthenica: Русский малакологический журнал,""
38,1995-4328,1995-4336,Schole. Философское антиковедение и классическая традиция,""
39,"",2658-6762,Science for Education Today,""
40,2304-0785,2305-6754,Slověne,""
41,1681-4363,"",Social Evolution and History,""
42,1608-9057,1857-3533,Stratum plus. Археология и культурная антропология,""
43,2500-4247,2541-8564,Studia Litterarum,""
44,1995-848X,"",Studia Slavica et Balcanica Petropolitana,""
45,2409-6008,2313-8734,Supercomputing Frontiers and Innovations,""
46,1560-7259,1560-7267,Turczaninowia,""
47,0233-528X,"",Авиакосмическая и экологическая медицина,""
48,2073-0020,"",Авиакосмическое приборостроение,""
49,2071-9140,"",Авиационные материалы и технологии,""
50,0005-2310,"",Автоматика и телемеханика,""
51,0005-2329,"","Автоматика, связь, информатика",""
52,0320-7102,"",Автометрия,""
53,0869-8155,2686-701X,Аграрная наука,""
54,2072-9081,2500-1396,Аграрная наука Евро-Северо-Востока,""
55,1997-4868,2307-0005,Аграрный вестник Урала,""
56,2313-8432,2587-9944,Аграрный научный журнал,""
57,2687-1149,2687-1130,Агроинженерия,""
58,1029-2551,"",Агрохимический вестник,""
59,0002-1881,"",Агрохимия,""
60,0321-5075,"",Азия и Африка сегодня,""
61,0235-5620,"",Актуальные проблемы Европы,""
62,2312-2129,"",Актуальные проблемы теории и истории искусства,""
63,0320-7919,"",Акустический журнал,""
64,0300-9092,"",Акушерство и гинекология,""
65,0234-0852,"",Алгебра и анализ,""
66,0373-9252,"",Алгебра и логика,""
67,2072-0505,2587-9294,Альманах клинической медицины,""
68,1999-4079,2686-9519,Амурский зоологический журнал,""
69,2308-1155,2308-1163,Анализ риска здоровью,""
70,2073-1442,2073-1450,Аналитика и контроль,""
71,1027-6661,"",Ангиология и сосудистая хирургия,""
72,1814-6791,2307-6313,Анналы аритмологии,""
73,2075-5473,2409-2533,Анналы клинической и экспериментальной неврологии,""
74,1560-9502,2411-2674,Анналы хирургии,2019
75,1995-5464,2408-9524,Анналы хирургической гепатологии,""
76,0235-2990,"",Антибиотики и химиотерапия,""
77,2686-7206,2686-925X,Антиномии,""
78,1815-8870,"",Антропологический форум,""
79,0235-2443,"","АПК: Экономика, управление",""
80,1993-3916,"",Аридные экосистемы,""
81,"",2221-2698,Арктика и Север,""
82,2223-4594,"",Арктика: экология и экономика,""
83,1817-6976,"",Археологические вести,""
84,1563-0102,2410-7182,"Археология, этнография и антропология Евразии",""
85,0004-1955,2309-1266,Архив патологии,""
86,0320-930X,"",Астрономический вестник. Исследования Солнечной системы,""
87,0004-6299,"",Астрономический журнал,""
88,"",1990-3391,Астрофизический бюллетень,""
89,2219-8202,2409-2355,Атеросклероз и дислипидемии,""
90,0004-7163,"",Атомная энергия,""
91,2074-9848,2310-0532,Балтийский регион,""
92,1812-3945,"",Банковское право,""
93,1998-0663,2587-8166,Бизнес-информатика,""
94,0233-4755,"",Биологические мембраны,""
95,0320-9652,"",Биология внутренних вод,""
96,0134-3475,"",Биология моря,""
97,2074-5982,"",Биомедицина,""
98,1560-4136,"",Биомедицинская радиоэлектроника,""
99,2310-6972,2310-6905,Биомедицинская химия,""
100,0132-3423,1998-2860,Биоорганическая химия,""
101,2221-996X,2619-1156,"Биопрепараты. Профилактика, диагностика, лечение",""
102,0234-2758,2500-2341,Биотехнология,""
103,0006-3029,"",Биофизика,""
104,0320-9725,"",Биохимия,""
105,0006-8136,2658-6339,Ботанический журнал,""
106,"",0027-1403,Бюллетень Московского общества испытателей природы. Отдел биологический,""
107,1810-0694,2410-9959,Бюллетень НЦССХ им. А.Н. Бакулева РАМН. Сердечно- сосудистые заболевания,""
108,0136-1694,2312-4202,Бюллетень Почвенного института им. В.В. Докучаева,""
109,1682-0363,1819-3684,Бюллетень сибирской медицины,""
110,0365-9615,2413-1008,Бюллетень экспериментальной биологии и медицины,""
111,2500-0462,2500-3259,Вавиловский журнал генетики и селекции,""
112,1994-9065,"",Век глобализации,""
113,2311-0546,"",Вестник антропологии,""
114,1561-8641,2658-7327,Вестник аритмологии,""
115,1811-7465,2071-0437,"Вестник археологии, антропологии и этнографии",""
116,2073-0101,"",Вестник архивиста,""
117,2073-5529,2309-978X,Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство,""
118,1998-9911,2409-1979,Вестник Волгоградского государственного университета. Серия 2: Языкознание,""
119,2071-2243,"",Вестник Воронежского государственного аграрного университета,""
120,1609-0683,"",Вестник Воронежского государственного университета. Серия: География. Геоэкология,""
121,1609-0691,"",Вестник Воронежского государственного университета. Серия: Геология,""
122,1995-5499,"",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,""
123,2078-1962,2713-2625,Вестник восстановительной медицины,""
124,1992-2043,"",Вестник гражданского права,""
125,2226-0781,2686-942X,Вестник гражданского процесса,""
